"ClientId","Client_Domain","isActive","isShopify","isPasswordProtected"
"2058","madbacksat.shop","TRUE","FALSE","FALSE"
"2141","skylandfashion.org","TRUE","FALSE","FALSE"
"2989","spwearings.com","FALSE","FALSE","FALSE"
"2158","www.quickshopmercantile.online","FALSE","FALSE","FALSE"
"2319","hbdropnscoop.com","FALSE","FALSE","FALSE"
"3033","cloud9colognes.com","FALSE","FALSE","FALSE"
"3165","frankyshop.ca","FALSE","FALSE","FALSE"
"2998","magicsproduct.com","FALSE","FALSE","FALSE"
"2496","amsparts.com.br","FALSE","FALSE","TRUE"
"2376","thebrandshoppee.com","TRUE","FALSE","FALSE"
"1120","bazarjuju.com.br","TRUE","FALSE","FALSE"
"1202","www.ivyandoctober.com","FALSE","FALSE","FALSE"
"1598","rescuedsoul.com","FALSE","FALSE","FALSE"
"1496","loxuce.com","FALSE","FALSE","FALSE"
"1661","getstarlight.store","FALSE","FALSE","FALSE"
"3921","www.devoiler.in","TRUE","FALSE","FALSE"
"2936","batch95.com","FALSE","FALSE","FALSE"
"65","www.massmvt.com","FALSE","FALSE","FALSE"
"2775","www.khans.store","FALSE","FALSE","FALSE"
"2243","b2b-gbp.pilgrim.net","TRUE","TRUE","FALSE"
"3634","www.birkenstock.in","TRUE","TRUE","FALSE"
"2828","a53215.myshopify.com","FALSE","TRUE","FALSE"
"2057","shop.jagermeister.se","TRUE","TRUE","FALSE"
"2176","nz.frankie4.com","TRUE","TRUE","FALSE"
"1792","ay-f.net","TRUE","TRUE","FALSE"
"2080","d22260.myshopify.com","FALSE","TRUE","FALSE"
"3785","43095e-65.myshopify.com","FALSE","TRUE","FALSE"
"3295","silklaundry.ca","TRUE","TRUE","FALSE"
"1756","www.barberitems.com","TRUE","TRUE","FALSE"
"1138","repurposedonline.com","TRUE","TRUE","FALSE"
"525","www.med7online.com","TRUE","TRUE","FALSE"
"4409","eliseetmadelyn.com","TRUE","TRUE","FALSE"
"1231","nappico.in","TRUE","TRUE","FALSE"
"2143","arieltaub.com","TRUE","TRUE","FALSE"
"2984","tt-furniture.com","TRUE","TRUE","FALSE"
